Age,Gender,Race,Education,WorkClass,Occupation,MaritalStatus,HoursPerWeek,CapitalGain,CapitalLoss,NativeCountry,IncomeClass
45,Female,Hispanic,No HS,Self-Employed,Clerical,Married,59,0,720,Mexico,0
38,Female,White,Some College,Private,Healthcare,Married,45,0,0,USA,1
47,Female,Hispanic,Master's,Private,Sales,Single,47,0,1213,USA,1
58,Female,Black,Master's,Private,Education,Married,57,0,0,USA,1
37,Female,Asian,No HS,Government,Sales,Single,48,0,0,Mexico,0
37,Male,Hispanic,HS Grad,Unemployed,Tech,Single,0,15025,0,Mexico,0
58,Female,Black,No HS,Private,Sales,Married,30,0,0,Mexico,1
49,Male,Black,Bachelor's,Private,Education,Married,52,0,632,USA,1
34,Female,White,No HS,Private,Healthcare,Single,41,0,0,China,0
46,Male,Black,HS Grad,Private,Education,Married,25,0,0,USA,0
34,Male,White,HS Grad,Private,Tech,Single,45,0,0,USA,0
34,Female,Black,Master's,Private,Tech,Married,52,0,0,UK,1
42,Female,White,Associate,Private,Blue Collar,Divorced,26,0,0,China,1
18,Male,White,Associate,Private,Blue Collar,Single,53,0,385,USA,1
19,Male,Hispanic,Bachelor's,Self-Employed,Tech,Married,32,1644,0,USA,1
33,Female,Black,Associate,Private,Management,Married,30,12400,0,USA,1
27,Female,Other,Associate,Private,Sales,Widowed,21,0,0,USA,1
43,Other,White,No HS,Private,Healthcare,Single,37,3644,914,USA,0
29,Male,Black,Some College,Government,Education,Single,26,2893,0,USA,1
23,Female,White,Bachelor's,Government,Management,Single,56,0,0,USA,1
57,Male,Other,Some College,Government,Management,Single,60,2317,0,USA,1
37,Male,White,No HS,Private,Tech,Single,39,0,0,USA,0
40,Female,White,HS Grad,Unemployed,Tech,Married,0,0,0,USA,0
22,Male,Asian,Master's,Private,Management,Single,41,0,0,China,1
33,Male,White,Associate,Government,Sales,Single,50,0,0,Other,1
41,Female,Black,Associate,Private,Clerical,Single,49,3998,0,USA,1
26,Male,White,Associate,Unemployed,Education,Married,0,12242,1961,China,0
44,Male,Black,HS Grad,Private,Management,Single,46,0,915,USA,1
32,Male,Asian,No HS,Private,Education,Divorced,48,0,0,USA,0
36,Female,White,Some College,Unemployed,Clerical,Widowed,0,0,0,USA,0
32,Male,Asian,Some College,Private,Tech,Married,58,0,0,China,1
62,Female,Black,Bachelor's,Self-Employed,Blue Collar,Single,31,0,0,USA,0
39,Male,White,HS Grad,Private,Sales,Single,41,0,0,USA,0
27,Male,White,HS Grad,Unemployed,Tech,Married,0,0,0,China,0
49,Female,White,No HS,Self-Employed,Management,Married,46,0,0,USA,0
25,Other,White,Some College,Private,Education,Married,30,5262,0,USA,1
42,Male,White,HS Grad,Private,Management,Single,50,0,0,USA,0
18,Female,White,HS Grad,Self-Employed,Management,Single,27,0,0,USA,0
24,Female,White,HS Grad,Private,Blue Collar,Married,30,0,480,USA,1
42,Male,White,HS Grad,Private,Blue Collar,Married,45,0,0,USA,0
48,Male,White,Some College,Self-Employed,Management,Single,32,0,0,USA,0
42,Female,White,Some College,Private,Clerical,Married,47,2145,975,India,1
38,Female,White,Some College,Private,Sales,Single,37,0,0,USA,1
36,Male,White,No HS,Self-Employed,Tech,Single,21,0,0,USA,0
22,Female,Hispanic,Some College,Government,Sales,Single,54,0,0,USA,1
31,Male,White,Bachelor's,Private,Management,Married,24,831,0,USA,1
34,Male,Black,HS Grad,Private,Healthcare,Divorced,47,0,0,USA,0
52,Female,White,Master's,Private,Management,Married,43,2622,0,Germany,1
44,Male,White,Some College,Government,Clerical,Single,52,23839,0,Mexico,1
18,Male,White,No HS,Private,Sales,Married,37,0,0,USA,1
43,Female,White,HS Grad,Private,Education,Married,29,0,0,USA,0
35,Female,White,No HS,Government,Education,Divorced,25,0,0,UK,0
31,Female,White,Some College,Private,Management,Widowed,30,0,0,USA,1
47,Female,White,Some College,Government,Management,Married,41,0,0,USA,0
52,Female,White,Bachelor's,Private,Education,Married,29,9443,0,USA,1
51,Male,White,Associate,Private,Sales,Married,43,5622,0,USA,1
29,Male,Asian,Some College,Private,Clerical,Single,60,0,0,UK,0
